hpix,l,b,D_o,D_f,C,eC
0.0,45.0,84.14973293629666,1.375909914202061,10.228169931464093,0.9574193548387097,0.2622198086609968
0.0,45.0,84.14973293629666,10.228169931464093,10.640167239086464,0.9999999999999999,1.1351170277406055
0.0,45.0,84.14973293629666,10.640167239086464,16.887834551435258,0.9961904761904763,0.392396908730448
0.0,45.0,84.14973293629666,16.887834551435258,92.76031628193005,0.9813988095238095,0.2585562449273502
1.0,135.0,84.14973293629666,1.5572014519974242,12.098784525410624,0.9942222222222221,0.3545509604261348
1.0,135.0,84.14973293629666,12.098784525410624,21.5785736115392,0.9979999999999999,0.37609998670566314
1.0,135.0,84.14973293629666,21.5785736115392,92.76031628193005,0.9793585265163542,0.3258216481272976
2.0,225.0,84.14973293629666,1.5572014519974242,12.12854977190049,1.0,0.3500337238654831
2.0,225.0,84.14973293629666,12.12854977190049,19.174891735841904,0.9946666666666667,0.37785331997071875
2.0,225.0,84.14973293629666,19.174891735841904,29.86940901158295,0.9965957446808511,0.37011217815218544
2.0,225.0,84.14973293629666,29.86940901158295,99.10701329943558,0.9779293739967897,0.2877402886325088
3.0,315.0,84.14973293629666,1.375909914202061,12.037343046834646,0.9944680851063831,0.3502175572153548
3.0,315.0,84.14973293629666,12.037343046834646,16.951557986620518,0.9939622641509432,0.3552614307835784
3.0,315.0,84.14973293629666,16.951557986620518,22.177463507069167,0.9958823529411764,0.4094815714262066
3.0,315.0,84.14973293629666,22.177463507069167,35.525670196428976,0.9901754385964914,0.3468328075421246
3.0,315.0,84.14973293629666,35.525670196428976,95.19566110367428,0.9823874755381606,0.30744301269294266
4.0,22.5,78.28414760510762,1.2743009298233738,10.03122752302952,0.9593478260869566,0.2666024624343947
4.0,22.5,78.28414760510762,10.03122752302952,10.594702775733095,1.0,0.6716334979403242
4.0,22.5,78.28414760510762,10.594702775733095,15.64941292982449,0.9944186046511628,0.3821948085357475
4.0,22.5,78.28414760510762,15.64941292982449,23.459017443092165,0.9999999999999999,0.4123093866297859
4.0,22.5,78.28414760510762,23.459017443092165,101.3252970880456,0.9809954751131222,0.29771368180650226
