hpix,l,b,"ASAS[11,13]","Gaia[11,13]","ASAS[13,15]","Gaia[13,15]","ASAS[15,17]","Gaia[15,17]"
83,247.49999999999997,9.594068226860458,,0.0,0.6153846153846154,0.2105263157894737,0.05555555555555555,0.42857142857142855
84,270.0,9.594068226860458,,0.0,0.4375,0.21875,0.23880597014925375,0.6956521739130435
85,292.5,9.594068226860458,0.5,0.14285714285714288,0.5,0.20454545454545453,0.13131313131313133,0.7222222222222223
86,315.0,9.594068226860458,1.0,0.125,0.5416666666666666,0.21311475409836067,0.08379888268156424,0.46875
87,337.49999999999994,9.594068226860458,,0.0,0.5151515151515151,0.2537313432835821,0.05808080808080808,0.5348837209302326
88,11.25,0.0,,0.0,0.0,0.0,0.0022727272727272726,0.03225806451612903
89,33.75,0.0,,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693
90,56.24999999999999,0.0,0.0,0.0,0.5,0.14634146341463417,0.024390243902439025,0.14285714285714288
91,78.75,0.0,0.0,0.0,0.6,0.1,0.030303030303030304,0.14285714285714288
92,101.24999999999999,0.0,0.0,0.0,0.25,0.030303030303030304,0.05,0.16666666666666669
93,123.74999999999999,0.0,,0.0,1.0,0.07142857142857144,0.052631578947368425,0.1111111111111111
94,146.25,0.0,,0.0,0.6666666666666667,0.16666666666666669,0.0,0.0
95,168.74999999999997,0.0,,0.0,,0.0,0.0,0.0
96,191.25,0.0,,0.0,0.0,0.0,0.0625,0.1111111111111111
97,213.75,0.0,,0.0,0.0,0.0,0.16666666666666669,0.09090909090909091
98,236.25,0.0,1.0,0.07142857142857144,0.6,0.06976744186046512,0.09375,0.21428571428571427
99,258.75,0.0,1.0,0.14285714285714288,0.2,0.026315789473684213,0.0,0.0
100,281.24999999999994,0.0,1.0,0.052631578947368425,0.25,0.021739130434782608,0.05376344086021505,0.22727272727272727
101,303.75,0.0,0.0,0.0,0.16666666666666669,0.017094017094017092,0.01639344262295082,0.10526315789473685
102,326.24999999999994,0.0,0.0,0.0,0.33333333333333337,0.06593406593406594,0.016129032258064516,0.08333333333333334
103,348.74999999999994,0.0,,0.0,0.375,0.0379746835443038,0.011152416356877325,0.18181818181818182
104,0.0,-9.594068226860458,0.0,0.0,0.3076923076923077,0.0851063829787234,0.03005780346820809,0.49056603773584906
105,22.5,-9.594068226860458,,0.0,0.5,0.09473684210526315,0.03722084367245657,0.3125
106,45.0,-9.594068226860458,1.0,0.28571428571428575,0.4722222222222222,0.22972972972972971,0.045454545454545456,0.4074074074074074
107,67.5,-9.594068226860458,0.6666666666666667,0.2,0.43333333333333335,0.3939393939393939,0.06896551724137931,0.5454545454545454
108,90.0,-9.594068226860458,,0.0,1.0,0.25,0.09722222222222221,0.5833333333333334
109,112.49999999999999,-9.594068226860458,1.0,0.5,0.7142857142857143,0.16129032258064516,0.125,0.4
110,135.0,-9.594068226860458,,0.0,0.5714285714285715,0.28571428571428575,0.05882352941176471,0.5
111,157.5,-9.594068226860458,,,0.6,0.2,0.33333333333333337,0.3
112,180.0,-9.594068226860458,,0.0,,0.0,0.0,0.0
113,202.49999999999997,-9.594068226860458,,0.0,,0.0,0.08333333333333334,0.14285714285714288
114,224.99999999999997,-9.594068226860458,1.0,0.25,0.5,0.05882352941176471,0.07692307692307693,0.33333333333333337
115,247.49999999999997,-9.594068226860458,1.0,0.2,0.42857142857142855,0.1,0.078125,0.41666666666666663
116,270.0,-9.594068226860458,1.0,0.1,0.7,0.14,0.08928571428571429,0.2380952380952381
117,292.5,-9.594068226860458,0.0,0.0,0.631578947368421,0.1935483870967742,0.07563025210084033,0.45
118,315.0,-9.594068226860458,1.0,0.1,0.5714285714285715,0.3,0.01785714285714286,0.3125
119,337.49999999999994,-9.594068226860458,,0.0,0.4489795918367347,0.19469026548672566,0.03893805309734513,0.5365853658536586
120,11.25,-19.47122063449069,0.0,0.0,0.5535714285714285,0.23664122137404578,0.18639053254437868,0.5080645161290323
121,33.75,-19.47122063449069,1.0,1.0,0.6923076923076923,0.5094339622641509,0.15126050420168066,0.782608695652174
122,56.24999999999999,-19.47122063449069,1.0,0.33333333333333337,0.6521739130434783,0.45454545454545453,0.2037037037037037,0.8461538461538461
123,78.75,-19.47122063449069,,0.0,0.2,0.2,0.20338983050847456,0.6
124,101.24999999999999,-19.47122063449069,1.0,0.5,0.6666666666666667,0.4,0.20512820512820515,1.0
125,123.74999999999999,-19.47122063449069,,0.0,0.6666666666666667,0.16666666666666669,0.23529411764705885,0.4444444444444444
126,146.25,-19.47122063449069,,0.0,0.5,0.09090909090909091,0.3,0.42857142857142855
127,168.74999999999997,-19.47122063449069,,,1.0,0.42857142857142855,0.3,0.42857142857142855
128,191.25,-19.47122063449069,1.0,0.4,0.33333333333333337,0.25,0.2727272727272727,0.375
129,213.75,-19.47122063449069,,0.0,1.0,0.2,0.36363636363636365,0.8
130,236.25,-19.47122063449069,0.0,0.0,0.8333333333333333,0.21739130434782608,0.5,0.75
131,258.75,-19.47122063449069,1.0,0.18181818181818182,0.8571428571428571,0.21428571428571427,0.45454545454545453,0.6666666666666667
132,281.24999999999994,-19.47122063449069,,0.0,0.9047619047619048,0.2714285714285714,0.31746031746031744,0.5405405405405406
133,303.75,-19.47122063449069,1.0,0.33333333333333337,0.7931034482758621,0.696969696969697,0.06796116504854369,0.6363636363636364
134,326.24999999999994,-19.47122063449069,0.4,0.2222222222222222,0.7222222222222223,0.5064935064935066,0.14741035856573703,0.8604651162790699
135,348.74999999999994,-19.47122063449069,,0.0,0.6226415094339622,0.21428571428571427,0.20224719101123598,0.5094339622641509
136,0.0,-30.000000000000014,1.0,0.33333333333333337,0.9047619047619048,0.4634146341463415,0.40145985401459855,0.6043956043956044
137,22.5,-30.000000000000014,1.0,0.5,0.8918918918918919,0.5409836065573771,0.45098039215686275,0.7840909090909091
138,45.0,-30.000000000000014,0.5,0.25,0.75,0.4772727272727273,0.5571428571428572,0.639344262295082
139,67.5,-30.000000000000014,,0.0,1.0,0.11764705882352942,0.3582089552238806,0.5106382978723404
140,90.0,-30.000000000000014,1.0,0.2,1.0,0.4666666666666666,0.5172413793103449,1.0
141,112.49999999999999,-30.000000000000014,,0.0,0.75,0.23076923076923075,0.29411764705882354,0.7142857142857143
142,135.0,-30.000000000000014,,0.0,,0.0,0.625,0.35714285714285715
143,157.5,-30.000000000000014,1.0,1.0,1.0,0.5,0.5,0.2222222222222222
144,180.0,-30.000000000000014,,,1.0,0.5,0.125,1.0
145,202.49999999999997,-30.000000000000014,1.0,0.5,0.8,0.4444444444444444,0.5294117647058824,0.6923076923076923
146,224.99999999999997,-30.000000000000014,1.0,0.5,0.25,0.2222222222222222,0.36363636363636365,0.6666666666666667
147,247.49999999999997,-30.000000000000014,1.0,0.33333333333333337,1.0,0.4615384615384615,0.33333333333333337,0.6875
148,270.0,-30.000000000000014,1.0,0.2,0.7272727272727273,0.36363636363636365,0.3076923076923077,0.4705882352941177
149,292.5,-30.000000000000014,,0.0,1.0,0.33333333333333337,0.41379310344827586,0.631578947368421
150,315.0,-30.000000000000014,1.0,0.5,0.5625,0.5806451612903225,0.16666666666666669,0.9166666666666667
151,337.49999999999994,-30.000000000000014,0.5,0.1111111111111111,0.851063829787234,0.5263157894736842,0.28971962616822433,0.6888888888888889
152,11.25,-41.81031489577862,1.0,0.6666666666666667,0.9130434782608695,0.7241379310344827,0.5303030303030303,0.7954545454545454
153,33.75,-41.81031489577862,1.0,0.6666666666666667,0.923076923076923,0.4,0.40909090909090906,0.75
154,56.24999999999999,-41.81031489577862,1.0,0.2,0.75,0.125,0.40625,0.48148148148148145
155,78.75,-41.81031489577862,1.0,0.5,0.8571428571428571,0.4,0.7222222222222223,0.5416666666666666
156,101.24999999999999,-41.81031489577862,1.0,0.5,0.75,0.42857142857142855,0.75,0.6923076923076923
157,123.74999999999999,-41.81031489577862,,0.0,1.0,0.5,0.875,0.6363636363636364
158,146.25,-41.81031489577862,1.0,0.33333333333333337,0.0,0.0,0.42857142857142855,0.375
159,168.74999999999997,-41.81031489577862,,0.0,1.0,0.14285714285714288,0.25,0.2222222222222222
160,191.25,-41.81031489577862,1.0,0.33333333333333337,1.0,0.75,0.5,0.33333333333333337
161,213.75,-41.81031489577862,1.0,1.0,1.0,0.6,0.42857142857142855,0.42857142857142855
162,236.25,-41.81031489577862,0.5,0.33333333333333337,0.7142857142857143,0.5555555555555556,0.5294117647058824,0.6923076923076923
163,258.75,-41.81031489577862,1.0,0.33333333333333337,1.0,0.2380952380952381,0.6190476190476191,0.7222222222222223
164,281.24999999999994,-41.81031489577862,1.0,0.5,0.7333333333333333,0.4230769230769231,0.4375,0.9545454545454546
165,303.75,-41.81031489577862,0.6,1.0,0.5625,0.6,0.08196721311475409,0.8333333333333333
166,326.24999999999994,-41.81031489577862,0.5,0.16666666666666669,0.5833333333333334,0.48275862068965514,0.24444444444444444,0.7333333333333333
167,348.74999999999994,-41.81031489577862,1.0,0.33333333333333337,0.96,0.631578947368421,0.5873015873015873,0.8043478260869565
168,14.999999999999998,-54.340912303861245,1.0,0.5,0.9166666666666667,0.6470588235294117,0.6285714285714286,0.7096774193548387
169,45.0,-54.340912303861245,,0.0,1.0,0.26666666666666666,0.6428571428571429,0.3
170,75.0,-54.340912303861245,,0.0,,0.0,0.2777777777777778,0.3846153846153846
171,105.0,-54.340912303861245,,,1.0,0.45454545454545453,0.6428571428571429,0.9
172,135.0,-54.340912303861245,1.0,0.25,,0.0,0.4,0.25
173,165.0,-54.340912303861245,,0.0,,0.0,0.8,0.4444444444444444
174,195.0,-54.340912303861245,,,1.0,0.16666666666666669,0.75,0.42857142857142855
175,224.99999999999997,-54.340912303861245,1.0,0.5,0.8888888888888888,0.8888888888888888,0.6,0.8181818181818181
176,255.00000000000003,-54.340912303861245,1.0,0.4,1.0,0.625,0.5454545454545454,0.8571428571428571
177,285.0,-54.340912303861245,0.0,,1.0,0.7333333333333333,0.27906976744186046,0.923076923076923
178,315.0,-54.340912303861245,1.0,0.6666666666666667,1.0,0.7142857142857143,0.5,0.8333333333333333
179,344.99999999999994,-54.340912303861245,1.0,0.5,1.0,0.411764705882353,0.475,0.76
180,22.5,-66.44353569089876,,0.0,0.6666666666666667,0.11764705882352942,0.5454545454545454,0.3
181,67.5,-66.44353569089876,,0.0,1.0,0.7,0.33333333333333337,0.4444444444444444
182,112.5,-66.44353569089876,,0.0,0.8333333333333333,1.0,0.4615384615384615,0.75
183,157.5,-66.44353569089876,1.0,0.5,0.8,0.4,0.8333333333333333,0.45454545454545453
184,202.5,-66.44353569089876,1.0,0.5,1.0,0.33333333333333337,0.8,0.8888888888888888
185,247.49999999999997,-66.44353569089876,,,0.8571428571428571,1.0,0.6666666666666667,0.875
186,292.5,-66.44353569089876,1.0,0.5,0.7777777777777777,0.6363636363636364,0.45454545454545453,0.7692307692307692
187,337.5,-66.44353569089876,1.0,0.5,0.7777777777777777,0.6363636363636364,0.52,0.7222222222222223
188,45.0,-78.28414760510762,,0.0,0.5,0.25,0.5333333333333333,0.8
189,135.0,-78.28414760510762,0.5,1.0,1.0,0.8,0.5454545454545454,0.6666666666666667
190,225.0,-78.28414760510762,1.0,0.8,1.0,0.33333333333333337,0.875,0.9333333333333332
191,315.0,-78.28414760510762,,,1.0,0.8,0.6153846153846154,0.6666666666666667
