hpix,l,b,D_o,D_f,C,eC
0.0,45.0,78.28414760510762,1.1709667246,6.183803008,0.5333333333333333,0.16510378329783743
0.0,45.0,78.28414760510762,6.183803008,9.25637100479,0.5666666666666667,0.1720249766533703
0.0,45.0,78.28414760510762,9.25637100479,10.0869924947,0.4,0.13662601021279464
0.0,45.0,78.28414760510762,10.0869924947,13.6133040955,0.7,0.19916492328386207
0.0,45.0,78.28414760510762,13.6133040955,15.9722965178,0.7666666666666667,0.21248093596402512
0.0,45.0,78.28414760510762,15.9722965178,17.7200333069,0.5333333333333333,0.16510378329783743
0.0,45.0,78.28414760510762,17.7200333069,23.0814618506,0.7666666666666667,0.21248093596402512
0.0,45.0,78.28414760510762,23.0814618506,34.4919595707,0.8333333333333334,0.22566773346211003
0.0,45.0,78.28414760510762,34.4919595707,48.8833066744,0.7666666666666667,0.21248093596402512
0.0,45.0,78.28414760510762,48.8833066744,112.214495854,0.5333333333333333,0.13480667456091644
1.0,135.0,78.28414760510762,1.54547343535,7.27098344297,0.6666666666666666,0.19245008972987526
1.0,135.0,78.28414760510762,7.27098344297,12.2014931667,0.7333333333333333,0.20584064314505618
1.0,135.0,78.28414760510762,12.2014931667,17.5677002402,0.6666666666666666,0.19245008972987526
1.0,135.0,78.28414760510762,17.5677002402,21.6957599038,0.7666666666666667,0.21248093596402512
1.0,135.0,78.28414760510762,21.6957599038,43.3350802107,0.8,0.21908902300206645
1.0,135.0,78.28414760510762,43.3350802107,106.10671376,0.44680851063829785,0.11727820677066476
2.0,225.0,78.28414760510762,0.863965326134,7.17085040995,0.6333333333333333,0.1856918993426517
2.0,225.0,78.28414760510762,7.17085040995,11.4563730963,0.7,0.19916492328386207
2.0,225.0,78.28414760510762,11.4563730963,15.4545171897,0.7666666666666667,0.21248093596402512
2.0,225.0,78.28414760510762,15.4545171897,18.2651046486,0.5666666666666667,0.1720249766533703
2.0,225.0,78.28414760510762,18.2651046486,21.3914925395,0.8,0.21908902300206645
2.0,225.0,78.28414760510762,21.3914925395,28.7118245247,0.7333333333333333,0.20584064314505618
2.0,225.0,78.28414760510762,28.7118245247,36.554924144,0.8333333333333334,0.22566773346211003
2.0,225.0,78.28414760510762,36.554924144,104.053199995,0.7037037037037037,0.1490030204957339
3.0,315.0,78.28414760510762,0.863965326134,6.68025239973,0.5666666666666667,0.1720249766533703
3.0,315.0,78.28414760510762,6.68025239973,8.62528433355,0.6,0.17888543819998315
3.0,315.0,78.28414760510762,8.62528433355,9.79514705496,0.23333333333333334,0.0979417816490623
3.0,315.0,78.28414760510762,9.79514705496,11.6410576033,0.6666666666666666,0.19245008972987526
3.0,315.0,78.28414760510762,11.6410576033,14.2919876074,0.7333333333333333,0.20584064314505618
3.0,315.0,78.28414760510762,14.2919876074,16.5570346017,0.5666666666666667,0.1720249766533703
3.0,315.0,78.28414760510762,16.5570346017,17.5242403535,0.6,0.17888543819998315
3.0,315.0,78.28414760510762,17.5242403535,20.2332181628,0.8,0.21908902300206645
3.0,315.0,78.28414760510762,20.2332181628,24.2788475245,0.7666666666666667,0.21248093596402512
3.0,315.0,78.28414760510762,24.2788475245,31.14589901,0.8333333333333334,0.22566773346211003
3.0,315.0,78.28414760510762,31.14589901,35.1304342547,0.8333333333333334,0.22566773346211003
3.0,315.0,78.28414760510762,35.1304342547,38.3796083198,0.9666666666666667,0.2517347222183908
3.0,315.0,78.28414760510762,38.3796083198,41.6719500581,0.8666666666666667,0.23221956404645566
3.0,315.0,78.28414760510762,41.6719500581,44.6952829205,0.8333333333333334,0.22566773346211003
3.0,315.0,78.28414760510762,44.6952829205,48.4979806108,0.7,0.19916492328386207
3.0,315.0,78.28414760510762,48.4979806108,108.838420887,0.631578947368421,0.13445607866494844
4.0,22.5,66.44353569089877,1.37516608011,7.22433497284,0.5,0.15811388300841897
4.0,22.5,66.44353569089877,7.22433497284,9.67895969389,0.4,0.13662601021279464
4.0,22.5,66.44353569089877,9.67895969389,11.4230169944,0.5666666666666667,0.1720249766533703
4.0,22.5,66.44353569089877,11.4230169944,14.0930292973,0.7333333333333333,0.20584064314505618
4.0,22.5,66.44353569089877,14.0930292973,19.2677431278,0.6333333333333333,0.1856918993426517
4.0,22.5,66.44353569089877,19.2677431278,26.684121768,0.8,0.21908902300206645
4.0,22.5,66.44353569089877,26.684121768,42.632550967,0.7666666666666667,0.21248093596402512
4.0,22.5,66.44353569089877,42.632550967,50.331283326,0.7,0.19916492328386207
4.0,22.5,66.44353569089877,50.331283326,112.214495854,0.5806451612903226,0.17206468819380646
5.0,67.5,66.44353569089877,1.1709667246,6.25332137518,0.43333333333333335,0.14388781638381934
5.0,67.5,66.44353569089877,6.25332137518,9.26281802746,0.5333333333333333,0.16510378329783743
5.0,67.5,66.44353569089877,9.26281802746,10.1206983318,0.43333333333333335,0.14388781638381934
5.0,67.5,66.44353569089877,10.1206983318,14.0542029928,0.7666666666666667,0.21248093596402512
5.0,67.5,66.44353569089877,14.0542029928,17.7200333069,0.7,0.19916492328386207
5.0,67.5,66.44353569089877,17.7200333069,23.7277188609,0.9333333333333333,0.24525119397904704
5.0,67.5,66.44353569089877,23.7277188609,37.0320934807,0.8,0.21908902300206645
5.0,67.5,66.44353569089877,37.0320934807,112.214495854,0.3684210526315789,0.09404693906933506
6.0,112.5,66.44353569089877,1.05930246904,8.10288554166,0.6666666666666666,0.19245008972987526
6.0,112.5,66.44353569089877,8.10288554166,12.5323890114,0.6333333333333333,0.1856918993426517
6.0,112.5,66.44353569089877,12.5323890114,18.2730864269,0.8,0.21908902300206645
